input,output,category_encoded
स्कूल के शौचालय गंदे हैं और उनकी सफाई नहीं होती।,education,2
ग्रामीण कारीगरों के लिए अपने उत्पाद बेचने के पर्याप्त अवसर नहीं हैं।,rural livelihood,7
There is a shortage of agricultural machinery available for farmers.,agriculture,1
कृपया मेरी शिकायत दर्ज करें कि नए विकसित क्षेत्र में उचित सार्वजनिक सुविधाएं उपलब्ध नहीं हैं।,urban development,8
हमारे क्षेत्र के सार्वजनिक कूड़ेदान कचरे से भर गए हैं।,environment,4
स्थानीय स्वास्थ्य केंद्र निर्धारित समय में खुला नहीं रहता है।,healthcare,5
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि स्थानीय प्रशासन ने निवासियों के अनुरोधों का जवाब नहीं दिया है।,public administration,6
Hospital mein patients ko handle karne ke liye enough nurses nahi hain.,healthcare,5
Hamare locality mein proper recycling facility available nahi hai.,environment,4
There is a serious accessibility issue: public buses do not provide proper wheelchair access.,accessibility,0
Ye ek serious healthcare issue hai: hospital mein patients ke liye clean drinking water available nahi hai.,healthcare,5
हमारे मोहल्ले में पीने के पानी की कमी है।,water related,9
There is a serious healthcare issue: the hospital does not have clean drinking water for patients.,healthcare,5
Government employment programme mein eligible workers ka proper registration nahi ho raha.,rural livelihood,7
I am facing an issue because small rural businesses are not receiving adequate government support.,rural livelihood,7
Government procurement centre regularly crops accept nahi kar raha hai.,agriculture,1
Local residents ko problem ho rahi hai kyunki hospital ki diagnostic testing facility properly work nahi kar rahi hai.,healthcare,5
The school playground is damaged and cannot be used safely.,education,2
Tap water se bad smell aa rahi hai aur ye drinking ke liye safe nahi hai.,water related,9
The public service counter is too high for wheelchair users.,accessibility,0
School ki building bahut kharab condition mein hai aur repair ki zarurat hai.,education,2
हमारे क्षेत्र की सार्वजनिक सुविधा में बिजली की विश्वसनीय आपूर्ति नहीं है।,energy,3
सार्वजनिक भवन के पास दिव्यांग लोगों के लिए आरक्षित पार्किंग नहीं है।,accessibility,0
कचरा फेंकने वाली जगह से बहुत तेज बदबू आती है।,environment,4
Residential buildings ke paas openly waste dump kiya ja raha hai.,environment,4
Hamare neighbourhood mein drinking water ki shortage hai.,water related,9
Government service counter overcrowded hai aur management poor hai.,public administration,6
Please meri complaint register karein ki local market small rural producers ko adequate support nahi deta hai.,rural livelihood,7
Bad weather ke time power supply unstable ho jati hai.,energy,3
The transformer in our area is overloaded and frequently trips.,energy,3
Water is being wasted because of an unrepaired pipeline leak.,water related,9
हमारे क्षेत्र में कचरे को अलग करने की उचित व्यवस्था नहीं है।,environment,4
The trees in our area are being cut without proper replacement.,environment,4
Farmers are not getting timely information about government agriculture schemes.,agriculture,1
हमारे क्षेत्र में पानी का दबाव बहुत कम है।,water related,9
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि पीने के पानी की पाइपलाइन दूषित हो गई है।,water related,9
Village ka irrigation pump damaged hai aur abhi tak repair nahi hua.,agriculture,1
Hamare village ke paas proper cold storage facility nahi hai.,agriculture,1
Please meri complaint register karein ki urgent need ke time ambulance service available nahi hoti.,healthcare,5
Rural workers ko government livelihood schemes ki information time par nahi milti.,rural livelihood,7
There is no proper grievance desk at the local government office.,public administration,6
कृपया मेरी शिकायत दर्ज करें कि सड़क पर ऐसी बाधाएं हैं जिनसे व्हीलचेयर उपयोगकर्ताओं को गुजरने में परेशानी होती है।,accessibility,0
The public water tank in our area is not being filled regularly.,water related,9
There is a serious water-related issue: the community water tank is damaged and needs repair.,water related,9
स्कूल में विज्ञान प्रयोगशाला के लिए जरूरी उपकरण नहीं हैं।,education,2
एक ही सेवा के लिए नागरिकों को सरकारी कार्यालय के कई चक्कर लगाने पड़ते हैं।,public administration,6
बेरोजगारी के समय ग्रामीण श्रमिकों को समय पर सहायता नहीं मिलती है।,rural livelihood,7
सड़क के किनारे निर्माण सामग्री का कचरा डाला गया है।,environment,4
The school does not have adequate desks and benches for students.,education,2
Village ke young people ke liye affordable skill development available nahi hai.,rural livelihood,7
Rural workers are not getting timely assistance during periods of unemployment.,rural livelihood,7
कचरा फेंकने वाली जगह से बहुत तेज बदबू आती है।,environment,4
Important government notices publicly display nahi kiye ja rahe hain.,public administration,6
Please meri complaint register karein ki urgent need ke time ambulance service available nahi hoti.,healthcare,5
विभाग में दर्ज की गई बार-बार की शिकायतों का समाधान नहीं किया गया है।,public administration,6
हमारे क्षेत्र का फुटपाथ टूटा हुआ है और चलने में परेशानी होती है।,urban development,8
स्कूल में छात्रों की संख्या के अनुसार पर्याप्त शिक्षक नहीं हैं।,education,2
Hamare neighbourhood mein drinking water ki shortage hai.,water related,9
Hamare area mein water supply frequently interrupt hoti hai.,water related,9
हमारे क्षेत्र के सार्वजनिक कूड़ेदान कचरे से भर गए हैं।,environment,4
Residents in our area are facing a problem because there is excessive dust pollution because of construction work.,environment,4
हमारे क्षेत्र में लगाई गई सोलर स्ट्रीट लाइटें काम नहीं कर रही हैं।,energy,3
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि संबंधित विभाग द्वारा आवेदन की स्थिति अपडेट नहीं की जा रही है।,public administration,6
सार्वजनिक भवन की सीढ़ियों पर उचित हैंडरेल नहीं है।,accessibility,0
सरकारी अस्पताल के शौचालय गंदे हैं और उनकी उचित सफाई नहीं होती।,healthcare,5
Main is problem se pareshan hoon kyunki hamare locality mein regular water supply nahi hai.,water related,9
Residents in our area are facing a problem because the drinking water pipeline is contaminated.,water related,9
स्कूल में छात्रों के लिए पर्याप्त डेस्क और बेंच नहीं हैं।,education,2
Residents in our village are facing a problem because the local market does not provide adequate support to small rural producers.,rural livelihood,7
Hospital premises ki regular cleaning nahi hoti hai.,healthcare,5
स्वास्थ्य केंद्र में मरीजों के लिए पर्याप्त बेड नहीं हैं।,healthcare,5
The government office does not have an accessible entrance.,accessibility,0
Hamare area mein kai days se water supply nahi hui hai.,water related,9
Students are not getting enough textbooks for their classes.,education,2
School mein basic science laboratory equipment available nahi hai.,education,2
स्वास्थ्य केंद्र का प्रतीक्षालय बहुत अधिक भीड़भाड़ वाला है।,healthcare,5
There is a serious rural livelihood issue: the local market does not provide adequate support to small rural producers.,rural livelihood,7
सार्वजनिक सड़क के पास उचित स्ट्रीट लाइट की व्यवस्था नहीं है।,energy,3
There is a lot of plastic waste on the roadside.,environment,4
नगर निगम की पाइपलाइन से गंदा पानी आ रहा है।,water related,9
स्कूल में छात्रों को उचित मध्याह्न भोजन नहीं मिल रहा है।,education,2
कृपया मेरी शिकायत दर्ज करें कि संबंधित विभाग द्वारा आवेदन की स्थिति अपडेट नहीं की जा रही है।,public administration,6
हमारे क्षेत्र में कई घंटों से बिजली नहीं है।,energy,3
The hospital premises are not cleaned regularly.,healthcare,5
कृपया मेरी शिकायत दर्ज करें कि सरकारी भवन के प्रवेश द्वार पर व्हीलचेयर के लिए रैंप नहीं है।,accessibility,0
स्वास्थ्य केंद्र का प्रतीक्षालय बहुत अधिक भीड़भाड़ वाला है।,healthcare,5
Farmers are not getting fair prices for their crops at the mandi.,agriculture,1
Hamare neighbourhood mein voltage bahut low aa raha hai.,energy,3
मुख्य सड़क का डिवाइडर टूट गया है और असुरक्षित है।,urban development,8
The air quality has become very poor because of open waste burning.,environment,4
Poor drainage ki wajah se rainwater roads par collect ho jata hai.,urban development,8
I am facing an issue because there are not enough employment opportunities for people in our village.,rural livelihood,7
हमारे गांव के लोगों को समस्या हो रही है क्योंकि हमारे गांव में लोगों के लिए रोजगार के पर्याप्त अवसर नहीं हैं।,rural livelihood,7
Hamare locality ke playground ko urgent repair ki zarurat hai.,urban development,8
हमारे क्षेत्र में पानी की आपूर्ति बार-बार बाधित होती है।,water related,9
मैं शिकायत दर्ज करना चाहता हूं कि हमारे क्षेत्र में सार्वजनिक बैठने की जगह खराब हो गई है।,urban development,8
Exposed electrical wires are creating a safety risk for residents.,energy,3
स्वास्थ्य केंद्र में बुजुर्ग मरीजों के लिए पर्याप्त सुविधाएं नहीं हैं।,healthcare,5
स्वास्थ्य केंद्र में बुजुर्ग मरीजों के लिए पर्याप्त सुविधाएं नहीं हैं।,healthcare,5
हमारे क्षेत्र में बिजली की आपूर्ति बहुत अनियमित है।,energy,3
यह एक गंभीर स्वास्थ्य संबंधी समस्या है: अस्पताल में मरीजों के लिए साफ पीने का पानी उपलब्ध नहीं है।,healthcare,5
Rural employment scheme ke under workers ko wages time par nahi mil rahi hain.,rural livelihood,7
"लोग खुले में कचरा जला रहे हैं, जिससे वायु प्रदूषण हो रहा है।",environment,4
Water tanker scheduled time par nahi aata hai.,water related,9
स्थानीय पार्क में कचरा और गंदगी फैली हुई है।,environment,4
School ke toilets bahut dirty hain aur unki maintenance nahi hoti.,education,2
The hospital premises are not cleaned regularly.,healthcare,5
अस्पताल में मरीजों को बहुत लंबे समय तक इंतजार करना पड़ता है।,healthcare,5
Local jobs ki shortage ki wajah se hamare area ke log migrate kar rahe hain.,rural livelihood,7
Citizens have to visit the government office multiple times for the same service.,public administration,6
स्थानीय लोगों को समस्या हो रही है क्योंकि मेरे क्षेत्र के सरकारी अस्पताल में पर्याप्त डॉक्टर नहीं हैं।,healthcare,5
कृपया मेरी शिकायत दर्ज करें कि सामुदायिक पानी की टंकी खराब है और उसकी मरम्मत की जरूरत है।,water related,9
Main complaint karna chahta hoon ki school mein students ke liye clean drinking water available nahi hai.,education,2
कृषि के लिए बिजली की आपूर्ति बार-बार बाधित होती है।,agriculture,1
हमारे गांव के पास उचित कोल्ड स्टोरेज की सुविधा नहीं है।,agriculture,1
Farmers ko government agriculture schemes ki information time par nahi milti.,agriculture,1
The local park is filled with litter and waste.,environment,4
ग्रामीण युवाओं के लिए पास में कोई व्यावसायिक प्रशिक्षण केंद्र नहीं है।,rural livelihood,7
Please register my complaint that the road has obstacles that make it difficult for wheelchair users to pass.,accessibility,0
Pedestrian crossing par accessible signal available nahi hai.,accessibility,0
हमारे क्षेत्र के खेल मैदान की तुरंत मरम्मत की जरूरत है।,urban development,8
Our locality has been without water for several days.,water related,9
फसल खराब होने से प्रभावित किसानों को मुआवजा नहीं मिला है।,agriculture,1
सार्वजनिक सड़क के पास उचित स्ट्रीट लाइट की व्यवस्था नहीं है।,energy,3
सार्वजनिक शौचालय में दिव्यांग लोगों के लिए उचित सुविधा नहीं है।,accessibility,0
The local civic facility does not provide adequate accessibility support.,accessibility,0
The waiting area at the health centre is overcrowded.,healthcare,5
Water tanker scheduled time par nahi aata hai.,water related,9
The local administration has not addressed the shortage of livelihood opportunities in our village.,rural livelihood,7
I want to report that the electricity outage continues despite repeated complaints.,energy,3
Local government employment scheme mein regularly work nahi milta hai.,rural livelihood,7
There is no proper queue management at the hospital.,healthcare,5
There is very low water pressure in our locality.,water related,9
The school playground is damaged and cannot be used safely.,education,2
यह एक गंभीर ऊर्जा संबंधी समस्या है: बिजली मीटर लगाने का अनुरोध अभी तक पूरा नहीं हुआ है।,energy,3
Rural workers ko government livelihood schemes ki information time par nahi milti.,rural livelihood,7
Bad weather ke time power supply unstable ho jati hai.,energy,3
Local residents ko problem ho rahi hai kyunki mere area ke government hospital mein enough doctors nahi hain.,healthcare,5
Hamare area mein supply hone wale water mein visible dirt hai.,water related,9
ग्रामीण युवाओं के लिए पास में कोई व्यावसायिक प्रशिक्षण केंद्र नहीं है।,rural livelihood,7
स्कूल में छात्रों की संख्या के अनुसार पर्याप्त शिक्षक नहीं हैं।,education,2
There are no audio announcements for visually impaired passengers.,accessibility,0
स्थानीय मंडी में किसानों के लिए उचित सुविधाएं नहीं हैं।,agriculture,1
There is a shortage of drinking water in our neighbourhood.,water related,9
Hamare area ki public water tank regularly fill nahi hoti hai.,water related,9
Hamare locality ka hand pump kharab hai aur repair nahi hua hai.,water related,9
Hamare locality ki main road ke paas proper drainage nahi hai.,urban development,8
हमारे क्षेत्र में कई घंटों से बिजली नहीं है।,energy,3
The government office staff are not responding to citizen queries.,public administration,6
सड़क के किनारे बहुत अधिक प्लास्टिक कचरा पड़ा है।,environment,4
Local administration ne hamare village mein livelihood opportunities ki shortage solve nahi ki hai.,rural livelihood,7
The air quality has become very poor because of open waste burning.,environment,4
The street infrastructure in our neighbourhood is poorly maintained.,urban development,8
The road construction work has been left incomplete for months.,urban development,8
Government health centre mein medicines ki shortage hai.,healthcare,5
Main is problem se pareshan hoon kyunki community water tank damaged hai aur repair ki zarurat hai.,water related,9
The divider on the main road is damaged and unsafe.,urban development,8
The health centre does not have enough beds for patients.,healthcare,5
Hospital laboratory time par reports provide nahi karti hai.,healthcare,5
There is no proper pedestrian crossing near the school.,urban development,8
स्कूल में विज्ञान प्रयोगशाला के लिए जरूरी उपकरण नहीं हैं।,education,2
Residents in our area are facing a problem because the public seating area in our locality is damaged.,urban development,8
Hamare area ka public park properly maintained nahi hai.,urban development,8
हमारे गांव के खेतिहर मजदूरों को पर्याप्त मौसमी रोजगार नहीं मिलता है।,rural livelihood,7
बार-बार अनुरोध करने के बावजूद संबंधित विभाग ने समस्या का समाधान नहीं किया है।,public administration,6
हमारे क्षेत्र में आने वाले पानी में दिखाई देने वाली गंदगी है।,water related,9
The newly developed residential area lacks basic civic infrastructure.,urban development,8
There is no proper pedestrian crossing near the school.,urban development,8
Hamare area ke residents ko problem ho rahi hai kyunki hamare area ka government office services time par provide nahi karta.,public administration,6
There is excessive waiting time at the local government office.,public administration,6
People are burning garbage in the open and causing air pollution.,environment,4
स्कूल का खेल मैदान खराब है और सुरक्षित रूप से उपयोग नहीं किया जा सकता।,education,2
Residents are facing a problem because the government hospital in my area does not have enough doctors.,healthcare,5
There is no accessible parking space near the public building.,accessibility,0
दृष्टिबाधित पैदल यात्रियों के लिए टैक्टाइल पथ नहीं है।,accessibility,0
Please register my complaint that the electricity meter installation request has not been processed.,energy,3
हमारे क्षेत्र की मुख्य सड़क के किनारे जल निकासी की उचित व्यवस्था नहीं है।,urban development,8
Farmers ko subsidized seeds lene mein problem ho rahi hai.,agriculture,1
Hamare locality ki main road ke paas proper drainage nahi hai.,urban development,8
Garbage dumping area se bahut strong foul smell aa rahi hai.,environment,4
The public office does not display updated service timings.,public administration,6
स्कूल में छात्रों के लिए उचित स्वच्छता की व्यवस्था नहीं है।,education,2
There is very low water pressure in our locality.,water related,9
Ye ek serious environmental issue hai: construction work ki wajah se excessive dust pollution ho raha hai.,environment,4
सड़क निर्माण का काम कई महीनों से अधूरा पड़ा है।,urban development,8
हमारे क्षेत्र का फुटपाथ टूटा हुआ है और चलने में परेशानी होती है।,urban development,8
स्थानीय प्रशासन ने हमारे गांव में आजीविका के अवसरों की कमी का समाधान नहीं किया है।,rural livelihood,7
School mein students ko proper mid-day meal nahi mil raha hai.,education,2
दृष्टिबाधित पैदल यात्रियों के लिए टैक्टाइल पथ नहीं है।,accessibility,0
हमारे मोहल्ले में पीने के पानी की कमी है।,water related,9
Hamare locality mein several hours se electricity nahi hai.,energy,3
हमारे क्षेत्र में कचरा संग्रहण की सेवा नियमित नहीं है।,environment,4
अस्पताल में आपातकालीन सेवाएं ठीक से उपलब्ध नहीं हैं।,healthcare,5
The public facility in our area does not have a reliable power supply.,energy,3
Please meri complaint register karein ki repeated complaints ke baad bhi power outage continue hai.,energy,3
The school lacks basic science laboratory equipment.,education,2
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि नए विकसित क्षेत्र में उचित सार्वजनिक सुविधाएं उपलब्ध नहीं हैं।,urban development,8
Hamare locality ka footpath broken hai aur use karna difficult hai.,urban development,8
Farmers ko government agriculture schemes ki information time par nahi milti.,agriculture,1
Main is problem se pareshan hoon kyunki hamare area ka government office services time par provide nahi karta.,public administration,6
स्कूल में छात्रों के लिए उचित स्वच्छता की व्यवस्था नहीं है।,education,2
सार्वजनिक कार्य पूरा करने के बाद मजदूरों को भुगतान मिलने में देरी हो रही है।,rural livelihood,7
The drainage system around agricultural fields is poor and causes waterlogging.,agriculture,1
Pipeline leakage repair na hone ki wajah se water waste ho raha hai.,water related,9
The railway station does not have adequate accessibility facilities.,accessibility,0
स्थानीय स्वास्थ्य केंद्र निर्धारित समय में खुला नहीं रहता है।,healthcare,5
वोल्टेज में बार-बार उतार-चढ़ाव से घरेलू उपकरण खराब हो रहे हैं।,energy,3
स्थानीय नागरिक सुविधा में पर्याप्त सुलभता सहायता उपलब्ध नहीं है।,accessibility,0
Pest attacks ki wajah se crops damage ho rahi hain aur timely support nahi mil raha.,agriculture,1
Local government employment scheme mein regularly work nahi milta hai.,rural livelihood,7
Rural workers are not getting timely assistance during periods of unemployment.,rural livelihood,7
मैं शिकायत दर्ज करना चाहता हूं कि अस्पताल में मरीजों के लिए साफ पीने का पानी उपलब्ध नहीं है।,healthcare,5
Government clinic mein doctor timings regular nahi hain.,healthcare,5
हमारे क्षेत्र का सामुदायिक केंद्र खराब स्थिति में है।,urban development,8
स्कूल के शौचालय गंदे हैं और उनकी सफाई नहीं होती।,education,2
हमारे क्षेत्र में लगाई गई सोलर स्ट्रीट लाइटें काम नहीं कर रही हैं।,energy,3
Government office staff citizen queries ka response nahi karta.,public administration,6
Hamare area ka footpath wheelchair users ke liye accessible nahi hai.,accessibility,0
हमारे मोहल्ले में बिजली का वोल्टेज बहुत कम रहता है।,energy,3
Elderly aur disabled pedestrians ke liye proper infrastructure nahi hai.,urban development,8
मरीजों को वे दवाइयां बाहर से खरीदने के लिए कहा जाता है जो अस्पताल में उपलब्ध होनी चाहिए।,healthcare,5
Local jobs ki shortage ki wajah se hamare area ke log migrate kar rahe hain.,rural livelihood,7
Workers are not receiving their wages on time under the rural employment scheme.,rural livelihood,7
मैं शिकायत दर्ज करना चाहता हूं कि हमारे क्षेत्र में बार-बार बिजली कटौती होती है।,energy,3
Government office mein proper queue management nahi hai.,public administration,6
Main complaint karna chahta hoon ki school mein students ke liye clean drinking water available nahi hai.,education,2
I want to report that public buses do not provide proper wheelchair access.,accessibility,0
Hamare area mein trees cut kiye ja rahe hain aur replacement mein naye trees nahi lagaye ja rahe.,environment,4
पाइपलाइन की लीकेज ठीक नहीं होने के कारण पानी बर्बाद हो रहा है।,water related,9
Women entrepreneurs in our village are not receiving proper institutional support.,rural livelihood,7
यह एक गंभीर पर्यावरण संबंधी समस्या है: स्थानीय जल स्रोत में सीवेज और कचरा डाला जा रहा है।,environment,4
हमारे क्षेत्र के सार्वजनिक कूड़ेदान कचरे से भर गए हैं।,environment,4
Farmers are not getting timely information about government agriculture schemes.,agriculture,1
नगर निगम की पानी की आपूर्ति पर्याप्त नहीं होने के कारण लोगों को पानी खरीदना पड़ रहा है।,water related,9
Main is problem se pareshan hoon kyunki mere area ke government hospital mein enough doctors nahi hain.,healthcare,5
Hamare locality mein water pressure bahut low hai.,water related,9
The government website is difficult for people with visual disabilities to use.,accessibility,0
The public water tank in our area is not being filled regularly.,water related,9
The government employment programme is not registering eligible workers properly.,rural livelihood,7
Rural workers ko government livelihood schemes ki information time par nahi milti.,rural livelihood,7
Hospital mein disabled people ke liye proper facilities nahi hain.,healthcare,5
The transformer in our area is overloaded and frequently trips.,energy,3
Farmers are facing difficulty getting subsidized seeds.,agriculture,1
Pest attacks ki wajah se crops damage ho rahi hain aur timely support nahi mil raha.,agriculture,1
स्थानीय सरकारी कार्यालय में बहुत लंबे समय तक इंतजार करना पड़ता है।,public administration,6
Farmers ko crop procurement ke liye bahut long wait karna padta hai.,agriculture,1
हमारे मोहल्ले की सड़क और अन्य बुनियादी सुविधाओं का रखरखाव खराब है।,urban development,8
There are frequent voltage fluctuations damaging household appliances.,energy,3
School mein students ke liye enough desks aur benches nahi hain.,education,2
हमारी गली के पास बिजली का ट्रांसफॉर्मर बार-बार खराब हो जाता है।,energy,3
Waste is being dumped openly near residential buildings.,environment,4
सरकारी कार्यालय का स्टाफ नागरिकों के सवालों का जवाब नहीं देता है।,public administration,6
Crop damage compensation has not been provided to affected farmers.,agriculture,1
स्कूल का खेल मैदान खराब है और सुरक्षित रूप से उपयोग नहीं किया जा सकता।,education,2
मरीजों को वे दवाइयां बाहर से खरीदने के लिए कहा जाता है जो अस्पताल में उपलब्ध होनी चाहिए।,healthcare,5
Farm workers in our village are not getting enough seasonal employment.,rural livelihood,7
Public works complete karne ke baad workers ko payment milne mein delay ho raha hai.,rural livelihood,7
वोल्टेज में बार-बार उतार-चढ़ाव से घरेलू उपकरण खराब हो रहे हैं।,energy,3
स्थानीय लोगों को सुलभता की समस्या हो रही है क्योंकि सार्वजनिक बसों में व्हीलचेयर के लिए उचित प्रवेश सुविधा नहीं है।,accessibility,0
Hamare area ka transformer overloaded hai aur frequently trip karta hai.,energy,3
हमारे क्षेत्र में कई दिनों से पानी की आपूर्ति नहीं हुई है।,water related,9
दृष्टिबाधित पैदल यात्रियों के लिए टैक्टाइल पथ नहीं है।,accessibility,0
मैं शिकायत करना चाहता हूं कि स्कूल में छात्रों के लिए साफ पीने का पानी उपलब्ध नहीं है।,education,2
सरकारी कार्यालय के अधिकारी काम के समय अक्सर उपलब्ध नहीं रहते हैं।,public administration,6
The hospital laboratory does not provide reports on time.,healthcare,5
I want to report that farmers in my area are not getting a reliable supply of irrigation water.,agriculture,1
Crop damage compensation has not been provided to affected farmers.,agriculture,1
Public building ki stairs par proper handrail nahi hai.,accessibility,0
यह एक गंभीर सार्वजनिक प्रशासन संबंधी समस्या है: लोगों को सरकारी सेवाओं के बारे में स्पष्ट जानकारी नहीं मिलती है।,public administration,6
Exposed electrical wires residents ke liye safety risk create kar rahe hain.,energy,3
The agricultural electricity supply is frequently interrupted.,agriculture,1
The public office does not display updated service timings.,public administration,6
स्कूल में छात्रों के लिए पर्याप्त डेस्क और बेंच नहीं हैं।,education,2
मैं इस समस्या से परेशान हूं क्योंकि हमारे गांव में लोगों के लिए रोजगार के पर्याप्त अवसर नहीं हैं।,rural livelihood,7
किसानों को फसल बीमा का भुगतान समय पर नहीं मिल रहा है।,agriculture,1
अस्पताल परिसर की नियमित रूप से सफाई नहीं होती है।,healthcare,5
Main is problem se pareshan hoon kyunki small rural businesses ko adequate government support nahi mil raha hai.,rural livelihood,7
Municipal pipeline se residents ko dirty water mil raha hai.,water related,9
बुजुर्गों और दिव्यांग पैदल यात्रियों के लिए उचित बुनियादी सुविधाएं नहीं हैं।,urban development,8
हमारे क्षेत्र का सामुदायिक केंद्र खराब स्थिति में है।,urban development,8
I am facing an issue because there are no proper public facilities in the newly developed area.,urban development,8
स्थानीय नागरिक सुविधा में पर्याप्त सुलभता सहायता उपलब्ध नहीं है।,accessibility,0
Farmers are not getting fair prices for their crops at the mandi.,agriculture,1
The toilets in the government hospital are dirty and poorly maintained.,healthcare,5
The road near the market is too narrow and causes regular congestion.,urban development,8
School mein students ke liye enough desks aur benches nahi hain.,education,2
"हमारे क्षेत्र में समस्या यह है कि स्कूल में बिजली की आपूर्ति ठीक नहीं है, जिससे पढ़ाई प्रभावित होती है।",education,2
गांव का सिंचाई पंप खराब है और अभी तक उसकी मरम्मत नहीं हुई है।,agriculture,1
Railway station par adequate accessibility facilities nahi hain.,accessibility,0
The application submitted to the government office has not been processed.,public administration,6
Hamare village mein canal water supply irregular hai.,agriculture,1
Hamare village ke paas proper cold storage facility nahi hai.,agriculture,1
बार-बार अनुरोध करने के बावजूद संबंधित विभाग ने समस्या का समाधान नहीं किया है।,public administration,6
Hospital laboratory time par reports provide nahi karti hai.,healthcare,5
Road construction work kai months se incomplete pada hai.,urban development,8
I am facing an issue because the government office in our area does not provide services on time.,public administration,6
Please register my complaint that the local market does not provide adequate support to small rural producers.,rural livelihood,7
सरकारी कार्यालय में दिव्यांग लोगों के लिए सुलभ प्रवेश द्वार नहीं है।,accessibility,0
There is a serious healthcare issue: the hospital does not have clean drinking water for patients.,healthcare,5
Main complaint register karna chahta hoon ki hospital mein patients ke liye clean drinking water available nahi hai.,healthcare,5
Hamare area ke residents ko problem ho rahi hai kyunki electricity meter installation request abhi tak process nahi hui hai.,energy,3
There is a shortage of drinking water in our neighbourhood.,water related,9
स्थानीय लोगों को सुलभता की समस्या हो रही है क्योंकि सरकारी भवन के प्रवेश द्वार पर व्हीलचेयर के लिए रैंप नहीं है।,accessibility,0
अस्पताल में मरीजों को बहुत लंबे समय तक इंतजार करना पड़ता है।,healthcare,5
There is no accessible parking space near the public building.,accessibility,0
सार्वजनिक भवन के पास दिव्यांग लोगों के लिए आरक्षित पार्किंग नहीं है।,accessibility,0
हमारे क्षेत्र के किसानों को समस्या हो रही है क्योंकि मेरे क्षेत्र के किसानों को सिंचाई के लिए नियमित पानी नहीं मिल रहा है।,agriculture,1
Poor drainage ki wajah se rainwater roads par collect ho jata hai.,urban development,8
Local park mein litter aur waste bahut zyada pada hua hai.,environment,4
ग्रामीण रोजगार योजना के तहत मजदूरों को समय पर मजदूरी नहीं मिल रही है।,rural livelihood,7
सरकारी खरीद केंद्र नियमित रूप से किसानों की फसल नहीं खरीद रहा है।,agriculture,1
पैदल यात्री क्रॉसिंग पर सुलभ सिग्नल की सुविधा नहीं है।,accessibility,0
सार्वजनिक सड़क के पास उचित स्ट्रीट लाइट की व्यवस्था नहीं है।,energy,3
सड़क के किनारे बहुत अधिक प्लास्टिक कचरा पड़ा है।,environment,4
Waste is being dumped openly near residential buildings.,environment,4
People are burning garbage in the open and causing air pollution.,environment,4
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि पानी की आपूर्ति का समय अनियमित और असुविधाजनक है।,water related,9
Ye ek serious public administration issue hai: local administration ne residents ke requests ka response nahi diya hai.,public administration,6
स्थानीय नागरिक सुविधा में पर्याप्त सुलभता सहायता उपलब्ध नहीं है।,accessibility,0
Main is problem se pareshan hoon kyunki road par obstacles hain jiski wajah se wheelchair users ko pass hone mein problem hoti hai.,accessibility,0
स्थानीय रोजगार की कमी के कारण हमारे क्षेत्र के लोग पलायन कर रहे हैं।,rural livelihood,7
Construction waste has been dumped on the roadside.,environment,4
यह एक गंभीर सार्वजनिक प्रशासन संबंधी समस्या है: स्थानीय प्रशासन ने निवासियों के अनुरोधों का जवाब नहीं दिया है।,public administration,6
हमारे क्षेत्र में कई घंटों से बिजली नहीं है।,energy,3
The public water tank in our area is not being filled regularly.,water related,9
Public road ke paas proper street lighting nahi hai.,energy,3
Residents in our area are facing a problem because sewage and waste are being discharged into the local water body.,environment,4
"The streetlights are switched off at night, making the road unsafe.",energy,3
हमारे क्षेत्र में लगाई गई सोलर स्ट्रीट लाइटें काम नहीं कर रही हैं।,energy,3
कृपया मेरी शिकायत दर्ज करें कि हमारे खेतों को मुख्य बाजार से जोड़ने वाली सड़क बहुत खराब है।,agriculture,1
Women entrepreneurs in our village are not receiving proper institutional support.,rural livelihood,7
Hamari street ke paas municipal water pipeline leak ho rahi hai.,water related,9
हमारे गांव के खेतिहर मजदूरों को पर्याप्त मौसमी रोजगार नहीं मिलता है।,rural livelihood,7
Hamare village ke paas proper cold storage facility nahi hai.,agriculture,1
सरकारी कार्यालय का स्टाफ नागरिकों के सवालों का जवाब नहीं देता है।,public administration,6
हमारे गांव के पास उचित कोल्ड स्टोरेज की सुविधा नहीं है।,agriculture,1
स्कूल में छात्रों के लिए कंप्यूटर की सुविधा बहुत सीमित है।,education,2
